Team,name,Round1,>Judge,Round2,>Judge,Round3,>Judge,Round4,>Judge,Standardized Participant Total,Add the std. participant totals for each team
1,,77.5,1,89.5,10,83.5,9,91,8,,
1,,77.8,1,87.5,10,88.5,9,98.3,8,,
2,,71.3,2,81.2,1,81,10,72,9,,
2,,77.3,2,72.2,1,96,10,80.5,9,,
3,,77.5,3,77,2,82,1,86.5,10,,
3,,78.3,3,79.7,2,78.3,1,86.5,10,,
4,,68.3,4,70.5,3,77.3,2,77.3,1,,
4,,66.7,4,77.7,3,79,2,79,1,,
5,,80,5,65.3,4,80.5,3,80.7,2,,
5,,71,5,64,4,79,3,78.7,2,,
6,,68,6,86,5,76.7,4,76.3,3,,
6,,46,6,75.5,5,81,4,78.7,3,,
7,,77.3,7,87,6,89.8,5,78.7,4,,
7,,73,7,63.5,6,85.5,5,70,4,,
8,,79.5,8,86,7,81.5,6,85,5,,
8,,75.5,8,85,7,82.5,6,88.5,5,,
9,,69.5,9,85.8,8,72,7,76,6,,
9,,69,9,86.5,8,73,7,76.5,6,,
10,,76,10,82,9,95,8,87.3,7,,
10,,76,10,82,9,95,8,87.3,7,,
11,,73.3,1,74,2,67.3,3,63,4,,
11,,73.5,1,71.3,2,69,3,58.3,4,,
12,,71.7,2,73.5,3,78,4,90.25,5,,
12,,70,2,87.3,3,78,4,91,5,,
13,,66.3,3,78.3,4,86.3,5,87.5,6,,
13,,65.5,3,64.7,4,83.3,5,66.5,6,,
14,,60,4,79.5,5,64,6,71.7,7,,
14,,60.7,4,77,5,55,6,68,7,,
15,,88,5,85,6,75,7,77.5,8,,
15,,81.5,5,67,6,62.3,7,73.3,8,,
16,,78.5,6,87.3,7,94,8,84.5,9,,
16,,79.5,6,87,7,93,8,83,9,,
17,,69.3,7,75.5,8,61,9,77.5,10,,
17,,81.3,7,87.25,8,77.5,9,95.5,10,,
18,,70.5,8,73.5,9,55,10,66.7,1,,
18,,70.5,8,73.5,9,55,10,66.7,1,,
19,,66,9,84,10,65.2,1,65.7,2,,
19,,72.5,9,75.5,10,66.7,1,68.7,2,,
20,,64.5,10,77.3,1,85.7,2,79.8,3,,
20,,68.5,10,71.2,1,69,2,75.3,3,,
